iter	Passed	Remaining
400	22750	19516
401	22806	19458
402	22860	19400
403	22915	19341
404	22971	19284
405	23025	19225
406	23080	19167
407	23134	19108
408	23191	19052
409	23246	18993
410	23300	18935
411	23357	18878
412	23452	18852
413	23511	18797
414	23571	18743
415	23626	18685
416	23682	18627
417	23739	18571
418	23795	18513
419	23850	18455
420	23906	18398
421	23962	18340
422	24018	18283
423	24073	18225
424	24130	18168
425	24184	18110
426	24240	18052
427	24296	17995
428	24352	17937
429	24406	17879
430	24463	17822
431	24536	17777
432	24591	17719
433	24645	17660
434	24702	17604
435	24775	17558
436	24831	17501
437	24889	17445
438	24943	17386
439	24999	17329
440	25054	17270
441	25109	17213
442	25167	17157
443	25222	17098
444	25279	17042
445	25335	16985
446	25392	16928
447	25447	16870
448	25504	16813
449	25560	16756
450	25617	16699
451	25672	16641
452	25729	16585
453	25783	16526
454	25840	16469
455	25894	16411
456	25949	16353
457	26003	16294
458	26060	16238
459	26115	16180
460	26174	16124
461	26227	16065
462	26298	16017
463	26353	15960
464	26407	15901
465	26463	15844
466	26521	15787
467	26576	15729
468	26629	15671
469	26685	15613
470	26741	15556
471	26797	15499
472	26853	15442
473	26909	15384
474	26963	15326
475	27021	15270
476	27074	15211
477	27129	15153
478	27183	15095
479	27239	15038
480	27294	14980
481	27347	14921
482	27401	14864
483	27457	14806
484	27515	14750
485	27570	14692
486	27625	14635
487	27682	14578
488	27740	14522
489	27809	14472
490	27867	14416
491	27920	14357
492	27975	14299
493	28028	14241
494	28084	14184
495	28138	14126
496	28195	14069
497	28249	14011
498	28305	13953
499	28360	13896
500	28421	13841
501	28476	13784
502	28533	13727
503	28589	13670
504	28643	13612
505	28692	13552
506	28747	13495
507	28804	13438
508	28858	13380
509	28916	13324
510	28972	13267
511	29029	13210
512	29084	13153
513	29140	13096
514	29195	13038
515	29251	12981
516	29305	12924
517	29363	12867
518	29418	12810
519	29478	12755
520	29534	12698
521	29590	12641
522	29645	12583
523	29700	12526
524	29760	12470
525	29812	12412
526	29868	12355
527	29921	12297
528	29978	12240
529	30031	12182
530	30087	12125
531	30141	12067
532	30196	12010
533	30249	11952
534	30306	11895
535	30360	11838
536	30415	11781
537	30473	11724
538	30532	11669
539	30587	11611
540	30643	11555
541	30698	11497
542	30757	11442
543	30814	11385
544	30873	11329
545	30929	11272
546	30980	11214
547	31039	11158
548	31094	11101
549	31152	11044
550	31206	10987
551	31267	10932
552	31320	10874
553	31378	10818
554	31434	10761
555	31506	10710
556	31575	10657
557	31639	10603
558	31703	10549
559	31775	10497
560	31843	10444
561	31911	10391
562	31974	10336
563	32034	10280
564	32104	10227
565	32157	10170
566	32216	10113
567	32284	10060
568	32338	10002
569	32392	9944
570	32448	9887
571	32505	9831
572	32559	9773
573	32614	9716
574	32670	9658
575	32727	9602
576	32784	9545
577	32840	9488
578	32895	9431
579	32953	9374
580	33007	9317
581	33065	9260
582	33119	9202
583	33175	9146
584	33229	9088
585	33285	9031
586	33332	8971
587	33387	8914
588	33443	8857
589	33499	8800
590	33554	8743
591	33611	8686
592	33664	8629
593	33722	8572
594	33777	8515
595	33834	8458
596	33893	8402
597	33947	8345
598	34004	8288
599	34058	8230
600	34114	8173
601	34169	8116
602	34225	8059
603	34280	8002
604	34337	7945
605	34393	7888
606	34448	7831
607	34504	7774
608	34559	7717
609	34613	7660
610	34670	7603
611	34724	7546
612	34779	7489
613	34849	7435
614	34907	7378
615	34970	7323
616	35025	7266
617	35080	7209
618	35134	7151
619	35190	7094
620	35259	7040
621	35317	6983
622	35370	6926
623	35425	6869
624	35478	6811
625	35535	6755
626	35591	6698
627	35645	6640
628	35702	6584
629	35756	6527
630	35811	6469
631	35851	6410
632	35906	6353
633	35955	6295
634	36009	6237
635	36066	6181
636	36122	6124
637	36177	6067
638	36231	6010
639	36288	5953
640	36346	5897
641	36399	5839
642	36455	5782
643	36512	5726
644	36569	5669
645	36622	5612
646	36680	5555
647	36735	5498
648	36793	5442
649	36847	5385
650	36904	5328
651	36960	5272
652	37016	5215
653	37070	5158
654	37127	5101
655	37183	5044
656	37243	4988
657	37297	4931
658	37355	4874
659	37412	4818
660	37467	4761
661	37526	4705
662	37580	4647
663	37635	4591
664	37691	4534
665	37748	4477
666	37803	4420
667	37858	4363
668	37912	4306
669	37967	4250
670	38024	4193
671	38079	4136
672	38133	4079
673	38190	4023
674	38245	3966
675	38284	3907
676	38337	3850
677	38392	3793
678	38446	3737
679	38503	3680
680	38559	3623
681	38616	3567
682	38670	3510
683	38726	3453
684	38779	3396
685	38837	3340
686	38891	3283
687	38961	3227
688	39016	3171
689	39073	3114
690	39126	3057
691	39184	3001
692	39240	2944
693	39294	2887
694	39350	2830
695	39406	2774
696	39461	2717
697	39518	2660
698	39574	2604
699	39628	2547
700	39684	2490
701	39738	2434
702	39808	2378
703	39864	2321
704	39921	2265
705	39975	2208
706	40033	2151
707	40089	2095
708	40145	2038
709	40200	1981
710	40255	1925
711	40313	1868
712	40368	1811
713	40424	1755
714	40480	1698
715	40536	1641
716	40591	1585
717	40646	1528
718	40709	1472
719	40764	1415
720	40820	1358
721	40877	1302
722	40934	1245
723	40989	1188
724	41044	1132
725	41098	1075
726	41155	1018
727	41211	962
728	41267	905
729	41321	849
730	41381	792
731	41434	735
732	41492	679
733	41545	622
734	41580	565
735	41635	509
736	41692	452
737	41746	395
738	41805	339
739	41858	282
740	41915	226
741	41970	169
742	42026	113
743	42080	56
744	42138	0
