iter	RMSE
0	30.34877162
1	30.34839748
2	30.25971956
3	30.13321226
4	30.08690579
5	29.95735844
6	29.85483591
7	29.70900197
8	29.55731349
9	29.54810632
10	29.52938121
11	29.50066071
12	29.36457081
13	29.28824997
14	29.27722966
15	29.22461264
16	29.15829842
17	29.04606497
18	29.00578403
19	28.9300449
20	28.86329748
21	28.76689621
22	28.67036619
23	28.61269987
24	28.53887793
25	28.51502695
26	28.40588266
27	28.40588263
28	28.3522281
29	28.31442086
30	28.24484863
31	28.18789912
32	28.16295707
33	28.15951237
34	28.02372464
35	27.92821031
36	27.80002793
37	27.79675408
38	27.73201938
39	27.72784433
40	27.59429852
41	27.45471347
42	27.36638368
43	27.34316055
44	27.31480543
45	27.18914711
46	27.05732441
47	26.93090626
48	26.77347177
49	26.60054549
50	26.51756305
51	26.476364
52	26.47242323
53	26.44234773
54	26.35260007
55	26.25558833
56	26.17656443
57	26.10680035
58	26.06039493
59	26.05609913
60	26.05575847
61	25.98526241
62	25.95869591
63	25.89238016
64	25.83281866
65	25.76347144
66	25.69789447
67	25.64461628
68	25.60115639
69	25.57952047
70	25.57282774
71	25.48578318
72	25.43464074
73	25.29346212
74	25.29346206
75	25.18621066
76	25.10862436
77	25.1029298
78	24.99738667
79	24.93763293
80	24.82631238
81	24.82075986
82	24.7226518
83	24.63050419
84	24.53509861
85	24.42316286
86	24.41530569
87	24.31701719
88	24.22831077
89	24.11580568
90	24.1024144
91	23.99986901
92	23.99370388
93	23.91975689
94	23.88435329
95	23.87875083
96	23.76766502
97	23.76766493
98	23.72633799
99	23.71437232
100	23.6346316
101	23.51959909
102	23.45177251
103	23.32507757
104	23.25605861
105	23.17396705
106	23.10693641
107	23.07992128
108	22.94366629
109	22.94331151
110	22.79905869
111	22.65975259
112	22.61885683
113	22.5510866
114	22.48443411
115	22.4323432
116	22.38840746
117	22.31578644
118	22.22701147
119	22.22701142
120	22.1668336
121	22.14387864
122	22.07718773
123	22.07162177
124	22.04112835
125	21.96157497
126	21.95721673
127	21.90931773
128	21.87596076
129	21.75832967
130	21.70052139
131	21.61958365
132	21.54951583
133	21.50371114
134	21.44108311
135	21.43193013
136	21.38217853
137	21.36300117
138	21.2975208
139	21.24509748
140	21.24376453
141	21.14740135
142	21.10893625
143	21.06259794
144	20.98555703
145	20.95459167
146	20.90117844
147	20.85132452
148	20.81334578
149	20.76822739
150	20.75126729
151	20.70652849
152	20.68223762
153	20.62994886
154	20.62994884
155	20.62183219
156	20.58540041
157	20.53919717
158	20.41086837
159	20.32518619
160	20.30419457
161	20.25896023
162	20.18740385
163	20.14200112
164	20.10283907
165	20.08415589
166	20.08415588
167	20.03234578
168	19.98323715
169	19.94222533
170	19.8938612
171	19.88103507
172	19.85212807
173	19.82670864
174	19.81446363
175	19.7847215
176	19.73732736
177	19.73732735
178	19.69185549
179	19.60331382
180	19.59580129
181	19.5714798
182	19.53876164
183	19.50421402
184	19.50421401
185	19.46979933
186	19.43002608
187	19.43002607
188	19.34724036
189	19.28776374
190	19.1660567
191	19.16511467
192	19.10318948
193	19.09925093
194	19.05479326
195	19.05470672
196	19.0175761
197	18.97631999
198	18.97426638
199	18.85822458
200	18.80699888
201	18.76386366
202	18.71365537
203	18.63089064
204	18.61214296
205	18.61214295
206	18.54268774
207	18.50432725
208	18.45228257
209	18.45115958
210	18.43125171
211	18.35862617
212	18.33784896
213	18.29931939
214	18.27172617
215	18.23647617
216	18.23491211
217	18.18337819
218	18.18337817
219	18.11200125
220	18.05820142
221	18.05060186
222	17.92986044
223	17.88452497
224	17.84258882
225	17.77193671
226	17.73695616
227	17.73649026
228	17.65371249
229	17.62618944
230	17.57855985
231	17.54053267
232	17.48315184
233	17.42581986
234	17.39376136
235	17.38272718
236	17.29236295
237	17.27018063
238	17.20681833
239	17.17298929
240	17.15929714
241	17.12811604
242	17.10561861
243	17.09728491
244	16.9872589
245	16.91574522
246	16.8580933
247	16.85185959
248	16.79698801
249	16.74831168
250	16.66312376
251	16.57787316
252	16.49399912
253	16.46611312
254	16.39479916
255	16.31778786
256	16.27741219
257	16.25284073
258	16.21068888
259	16.18919674
260	16.14920716
261	16.10571129
262	16.062667
263	16.01060243
264	16.01022997
265	15.97289104
266	15.90778472
267	15.81434808
268	15.77172874
269	15.7542872
270	15.69188416
271	15.66317998
272	15.60044218
273	15.50371047
274	15.47387112
275	15.42061847
276	15.37027881
277	15.29777591
278	15.25325061
279	15.16064933
280	15.12788556
281	15.08291231
282	15.05471953
283	15.05463745
284	15.01287261
285	14.98928847
286	14.96510273
287	14.91045018
288	14.88951878
289	14.85427146
290	14.79737412
291	14.75866017
292	14.71817403
293	14.62632818
294	14.56489378
295	14.49948717
296	14.44853455
297	14.37827638
298	14.32539246
299	14.28704059
300	14.24158037
301	14.22531835
302	14.16628262
303	14.10642186
304	14.06968048
305	14.0425938
306	14.00924731
307	13.98784233
308	13.96217727
309	13.90530292
310	13.83340509
311	13.80147076
312	13.69546031
313	13.6592264
314	13.59469461
315	13.5694212
316	13.54847073
317	13.5006724
318	13.42495573
319	13.39217903
320	13.36566326
321	13.31379201
322	13.30009291
323	13.21834003
324	13.12741077
325	13.0969978
326	13.06870687
327	13.03960288
328	13.01315604
329	12.99396409
330	12.9505595
331	12.90766345
332	12.87162393
333	12.82306087
334	12.80797396
335	12.77577765
336	12.72234585
337	12.70846182
338	12.69991294
339	12.67820064
340	12.58671503
341	12.57044906
342	12.54158422
343	12.50308449
344	12.48959277
345	12.43009173
346	12.41283748
347	12.36528572
348	12.29503113
349	12.25582997
350	12.22538223
351	12.18157086
352	12.16027365
353	12.11115022
354	12.06840674
355	12.04183851
356	11.99639951
357	11.97420882
358	11.95245575
359	11.90867372
360	11.88568176
361	11.84339615
362	11.82257052
363	11.8055568
364	11.78661714
365	11.71688532
366	11.68012931
367	11.6519795
368	11.61123489
369	11.58106592
370	11.54477736
371	11.48853775
372	11.44851888
373	11.40137068
374	11.32846358
375	11.30726508
376	11.2518651
377	11.2052791
378	11.19559595
379	11.16640427
380	11.15211295
381	11.14234852
382	11.10626631
383	11.08248907
384	11.03112305
385	11.00937224
386	11.00102296
387	10.96818613
388	10.95054634
389	10.92253391
390	10.89136756
391	10.8657441
392	10.83761582
393	10.79254581
394	10.77526623
395	10.71891692
396	10.652662
397	10.6236623
398	10.59055234
399	10.56007272
400	10.54494528
401	10.51524868
402	10.4501526
403	10.42597916
404	10.39891188
405	10.3620309
406	10.35466428
407	10.3219916
